small,48,41.875,132.8125
big,220,45.390625,140.625
small,47,39.296875,7.8125
big,78,19.84375,132.8125
big,79,22.5,144.53125
big,79,25.390625,148.4375
big,80,28.359375,128.90625
big,82,31.09375,148.4375
big,83,34.0625,207.03125
big,85,38.203125,210.9375
big,88,42.34375,203.125
big,90,46.484375,218.75
big,94,50.9375,171.875
big,96,54.375,199.21875
big,99,58.28125,171.875
big,101,61.640625,156.25
big,104,64.609375,128.90625
big,106,67.34375,183.59375
big,110,71.171875,210.9375
big,112,75.3125,226.5625
big,181,29.921875,78.125
big,180,28.203125,42.96875
small,120,11.953125,199.21875
small,120,7.890625,152.34375
small,120,4.84375,117.1875
small,122,2.5,230.46875
small,122,2.109375,238.28125
small,125,6.953125,82.03125
small,127,8.59375,164.0625
small,131,11.953125,101.5625
small,134,13.984375,179.6875
small,139,17.578125,109.375
small,141,19.765625,179.6875
big,129,12.421875,97.65625
big,127,10.46875,167.96875
big,127,7.109375,187.5
big,126,3.515625,144.53125
big,124,0.46875,187.5
big,125,3.28125,148.4375
big,126,6.25,148.4375
big,127,11.953125,152.34375
big,127,15.0,203.125
big,129,19.140625,191.40625
big,132,22.96875,203.125
big,133,27.03125,214.84375
big,137,31.328125,210.9375
big,140,35.625,199.21875
big,144,39.6875,214.84375
big,148,44.21875,238.28125
big,187,34.140625,156.25
small,54,16.5625,218.75
big,252,16.09375,234.375
small,54,12.1875,164.0625
big,250,11.40625,191.40625
small,53,8.90625,167.96875
big,248,7.578125,179.6875
small,53,5.546875,113.28125
big,245,3.984375,132.8125
small,53,3.28125,97.65625
big,246,1.328125,105.46875
small,52,1.25,128.90625
big,246,0.78125,140.625
small,53,1.328125,156.25
big,246,3.59375,179.6875
small,53,7.65625,97.65625
big,245,10.78125,101.5625
big,122,46.484375,152.34375
big,125,49.6875,132.8125
big,127,52.34375,171.875
big,131,55.78125,167.96875
big,133,59.140625,191.40625
big,137,62.96875,234.375
big,142,67.65625,222.65625
big,147,71.953125,183.59375
big,147,15.0,164.0625
big,146,11.640625,191.40625
big,144,7.890625,97.65625
big,143,5.859375,156.25
big,144,2.65625,148.4375
big,143,0.390625,187.5
big,142,4.296875,148.4375
big,143,7.265625,156.25
big,144,10.3125,140.625
big,144,13.046875,167.96875
big,145,16.328125,187.5
big,146,20.0,191.40625
big,148,23.75,179.6875
big,150,27.421875,156.25
big,152,30.546875,203.125
big,156,34.6875,226.5625
big,160,39.21875,218.75
big,164,43.671875,218.75
big,170,48.046875,234.375
big,174,52.734375,234.375
big,179,57.34375,226.5625
big,185,61.953125,195.3125
big,190,65.859375,179.6875
